"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"J3","TYPE-C Input","Top","FP-USB4125-GF-A-0190-MFG","4.7830","21.3360","270","3A 1 Surface Mount,Right Angle 6P Female -40?~+85? Type-C SMD USB Connectors ROHS"
"J2","Panel 2","Top","FP-S2B-XH-A-1_LF_SN-MFG","18.6770","7.8190","180","CONN HEADER R/A 2POS 2.5MM HCZZ0139-2"
"J1","Panel 1","Top","FP-S2B-XH-A-1_LF_SN-MFG","18.6770","72.7210","0","CONN HEADER R/A 2POS 2.5MM HCZZ0139-2"
"IC9","SY6280AAC","Top","SOT95P285X140-5N","67.9214","50.0380","270","Integrated Circuit"
"IC8","IP5306","Top","SOIC127P600X165-9N","62.3570","38.8620","0","Integrated Circuit"
"IC7","SY6280AAC","Top","SOT95P285X140-5N","46.9900","50.0380","270","Integrated Circuit"
"IC6","IP5306","Top","SOIC127P600X165-9N","41.4020","38.8620","0","Integrated Circuit"
"IC5","SY6280AAC","Top","SOT95P285X140-5N","26.1620","50.0354","270","Integrated Circuit"
"IC4","IP5306","Top","SOIC127P600X165-9N","20.4470","38.9350","0","Integrated Circuit"
"IC3","DW06D","Top","SOT95P280X135-6N","60.5790","14.7320","0","Integrated Circuit"
"IC2","DW06D","Top","SOT95P280X135-6N","45.5930","14.7320","0","Integrated Circuit"
"IC1","DW06D","Top","SOT95P280X135-6N","30.6070","14.7320","0","Integrated Circuit"
"D20","Power On Indicator","Top","FP-LTST-C170GKT-MFG","64.0080","77.4700","180","LED GREEN CLEAR SMD KT-0805G"
"D19","100%","Top","FP-LTST-C170GKT-MFG","58.6740","29.0830","0","LED GREEN CLEAR SMD KT-0805G"
"D18","75%","Top","LTST-C170KRKT_V","58.6740","27.0510","0","LED Red, KT-0805R"
"D17","50%","Top","LTST-C170KRKT_V","58.6740","25.0830","180","LED Red, KT-0805R"
"D16","25%","Top","LTST-C170KRKT_V","58.6740","23.1140","0","LED Red,KT-0805R"
"D15","100%","Top","FP-LTST-C170GKT-MFG","37.7190","29.0830","0","LED GREEN CLEAR SMD KT-0805G"
"D14","75%","Top","LTST-C170KRKT_V","37.7190","27.0510","0","LED Red, KT-0805R"
"D13","50%","Top","LTST-C170KRKT_V","37.7190","25.0920","180","LED Red, KT-0805R"
"D12","25%","Top","LTST-C170KRKT_V","37.7190","23.1140","0","LED Red,KT-0805R"
"D11","100%","Top","FP-LTST-C170GKT-MFG","16.7640","29.0830","0","LED GREEN CLEAR SMD KT-0805G"
"D10","75%","Top","LTST-C170KRKT_V","16.7640","27.0510","0","LED Red, KT-0805R"
"D9","50%","Top","LTST-C170KRKT_V","16.7640","25.0920","180","LED Red, KT-0805R"
"D8","25%","Top","LTST-C170KRKT_V","16.7640","23.1140","0","LED Red,KT-0805R"
"D7","Yellow","Top","LTST-C170KSKT_V","63.7540","9.0170","90","LED Yellow, 75 mW, 80 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel KT-0805Y"
"D6","Yellow","Top","LTST-C170KSKT_V","48.7680","9.0170","90","LED Yellow, 75 mW, 80 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel KT-0805Y"
"D5","Yellow","Top","LTST-C170KSKT_V","33.7820","9.1100","90","LED Yellow, 75 mW, 80 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel KT-0805Y"
"D4","USB PwrIn Indicator","Top","FP-LTST-C170GKT-MFG","9.4622","13.4620","90","LED GREEN CLEAR SMD KT-0805G"
"D3","DFLS130L-7","Top","DIOD-POWERDI123-2_A_V","12.8270","9.1390","90","Schottky Barrier Rectifier, 30 V, 1 A, -40 to 125 degC, 2-Pin SMD, RoHS, Tape and Reel"
"D2","Solar PwrIn Indicator","Top","FP-LTST-C170GKT-MFG","7.2390","72.2630","0","LED GREEN CLEAR SMD KT-0805G"
"D1","DFLS130L-7","Top","DIOD-POWERDI123-2_A_V","13.4328","71.5720","270","Schottky Barrier Rectifier, 30 V, 1 A, -40 to 125 degC, 2-Pin SMD, RoHS, Tape and Reel"
"C37","1nF","Top","FP-CL21-IPC_B","18.9026","63.1822","90","CL21 Series 0805 1nF 50V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor
CGA0805X7R102K500KT"
"C36","0.1uF","Top","FP-CL21-IPC_A","18.7526","58.4200","270","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
"C35","10uF","Top","FP-CL21-IPC_A","72.0845","51.1810","270","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C34","0.1uF","Top","FP-CL21-IPC_A","68.1990","53.8480","180","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
"C33","10uF","Top","FP-CL21-IPC_A","68.3495","46.1010","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C32","22uF","Top","FP-CL21-IPC_C","64.3890","48.8053","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C31","22uF","Top","FP-CL21-IPC_C","64.3890","46.1010","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C30","22uF","Top","FP-CL21-IPC_C","64.3890","43.3070","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C29","22uF","Top","FP-CL21-IPC_C","64.7420","31.8535","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C28","22uF","Top","FP-CL21-IPC_C","64.7217","34.5578","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C27","10uF","Top","FP-CL21-IPC_A","60.4286","43.3070","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C26","10uF","Top","FP-CL21-IPC_A","60.4286","46.1905","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C25","10uF","Top","FP-CL21-IPC_A","51.1295","51.1810","270","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C24","0.1uF","Top","FP-CL21-IPC_A","47.2440","53.8480","180","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
"C23","10uF","Top","FP-CL21-IPC_A","47.3945","46.1010","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C22","22uF","Top","FP-CL21-IPC_C","43.4340","48.7680","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C21","22uF","Top","FP-CL21-IPC_C","43.4340","46.1010","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C20","22uF","Top","FP-CL21-IPC_C","43.4340","43.3070","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C19","22uF","Top","FP-CL21-IPC_C","43.6880","31.8535","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C18","22uF","Top","FP-CL21-IPC_C","43.6880","34.5578","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C17","10uF","Top","FP-CL21-IPC_A","39.4736","43.3194","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C16","10uF","Top","FP-CL21-IPC_A","39.4970","46.2280","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C15","10uF","Top","FP-CL21-IPC_A","30.2112","51.1810","270","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C14","0.1uF","Top","FP-CL21-IPC_A","26.3258","53.8480","180","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
"C13","10uF","Top","FP-CL21-IPC_A","26.5164","46.1010","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C12","22uF","Top","FP-CL21-IPC_C","22.5186","48.7375","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C11","22uF","Top","FP-CL21-IPC_C","22.5186","46.0333","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C10","22uF","Top","FP-CL21-IPC_C","22.4824","43.2393","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C9","22uF","Top","FP-CL21-IPC_C","22.7330","31.9265","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C8","22uF","Top","FP-CL21-IPC_C","22.7439","34.6308","180","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A226MAYNNNE"
"C7","10uF","Top","FP-CL21-IPC_A","18.5220","43.2654","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C6","10uF","Top","FP-CL21-IPC_A","18.5582","46.1905","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor CL21A106KAYNNNE"
"C5","0.1uF","Top","FP-CL21-IPC_A","62.7748","18.2244","180","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
"C4","0.1uF","Top","FP-CL21-IPC_A","47.7520","18.2244","180","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
"C3","0.1uF","Top","FP-CL21-IPC_A","32.7660","18.2244","180","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
"C1","1nF","Top","FP-CL21-IPC_B","11.0490","55.1664","0","CL21 Series 0805 1nF 50V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor
CGA0805X7R102K500KT"
"C2","0.1uF","Top","FP-CL21-IPC_A","6.3500","55.6260","180","50V 0.1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS TCC0805X7R104K500DT"
